bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | 
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3020: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3021: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3022: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3024: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3027: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3028: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3029: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3030: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3031: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3032: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3004: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3008: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3019: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3025: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3033: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3020: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3024: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3031: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3027: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3012: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3009: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3029: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3010: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3002: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3030: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3003: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3028: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3016: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3013: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3032: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3017: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3019: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3014: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3033: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3008: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3006: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3018: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3021: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3015: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3022: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3004: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3010: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3020: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3012: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3014: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3029: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3028: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3016: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3021: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3027: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3024: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3002: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3017: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3030: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3009: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3022: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3004: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3031: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3019: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3032: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3013: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3006: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3015: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3018: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3003: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3020: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3014: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3029: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3010: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3009: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3006: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3016: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3012: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3013: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3017: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3021: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3027: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3002: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3022: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3031: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3030: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3032: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3020: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3014: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3029: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3010: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3009: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3016: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3006: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3013: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3017: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3021: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3027: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3031: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3032: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3020: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3014: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3010: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3016: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3006: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3013: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3027: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3014: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Connection error for port 3013: xhr poll error
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | All peer servers connected
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | All ids: 0,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,4,5,6,7,8,9
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Not all peers connected or ready
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | {
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    |   groupId: 3,
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    |   groupSize: 8,
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    |   ownGroupOthersIds: [
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    |     '25', '26',
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    |     '27', '28',
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    |     '29', '30',
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    |     '31'
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    |   ],
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    |   amILeader: true,
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    |   otherGroupLeadersIds: [
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    |     '0',  '1',  '2',  '3',
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    |     '4',  '8',  '9',  '10',
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    |     '11', '12', '16', '17',
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    |     '18', '19', '20'
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    |   ],
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    |   ownGroupIds: [
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    |     '24', '25', '26',
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    |     '27', '28', '29',
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    |     '30', '31'
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    |   ],
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    |   allIds: [
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    |     '0',  '1',  '10', '11', '12', '13',
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    |     '14', '15', '16', '17', '18', '19',
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    |     '2',  '20', '21', '22', '23', '24',
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    |     '25', '26', '27', '28', '29', '3',
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    |     '30', '31', '4',  '5',  '6',  '7',
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    |     '8',  '9'
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    |   ],
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    |   ownGroupLeaderIds: [ '24', '25', '26', '27', '28' ]
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | }
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | All servers ready
bft_bft_server3026.1.rrnmhct1p0zl@node5.bft.msc6801project.emulab.net    | Malicious : true
