bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | 
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | Connection error for port 3020: xhr poll error
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | Connection error for port 3015: xhr poll error
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | All peer servers connected
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | All ids: 1,10,11,12,13,14,15,16,17,18,19,2,20,3,4,5,6,7,8,9
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | All servers ready
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_0 1735976929601
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_1 1735976929603
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_2 1735976929603
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_3 1735976929604
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_4 1735976929604
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_5 1735976929604
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_6 1735976929605
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_7 1735976929605
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_8 1735976929605
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_9 1735976929606
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_10 1735976929607
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_11 1735976929607
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_12 1735976929607
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_13 1735976929607
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_14 1735976929607
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_15 1735976929608
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_16 1735976929608
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_17 1735976929608
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_18 1735976929608
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_19 1735976929609
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_20 1735976929609
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_21 1735976929609
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_22 1735976929609
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_23 1735976929610
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_24 1735976929611
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_25 1735976929611
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_26 1735976929611
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_27 1735976929612
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_28 1735976929612
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_29 1735976929612
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_30 1735976929612
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_31 1735976929612
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_32 1735976929613
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_33 1735976929613
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_34 1735976929613
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_35 1735976929613
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_36 1735976929613
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_37 1735976929614
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_38 1735976929614
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_39 1735976929614
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_40 1735976929614
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_41 1735976929614
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_42 1735976929614
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_43 1735976929615
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_44 1735976929615
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_45 1735976929615
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_46 1735976929615
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_47 1735976929615
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_48 1735976929615
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_49 1735976929616
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_50 1735976929616
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_51 1735976929616
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_52 1735976929616
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_53 1735976929616
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_54 1735976929617
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_55 1735976929617
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_56 1735976929617
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_57 1735976929617
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_58 1735976929618
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_59 1735976929618
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_60 1735976929618
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_61 1735976929618
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_62 1735976929618
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_63 1735976929619
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_64 1735976929619
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_65 1735976929619
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_66 1735976929619
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_67 1735976929620
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_68 1735976929620
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_69 1735976929620
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_70 1735976929620
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_71 1735976929620
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_72 1735976929621
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_73 1735976929621
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_74 1735976929621
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_75 1735976929621
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_76 1735976929622
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_77 1735976929622
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_78 1735976929622
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_79 1735976929623
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_80 1735976929623
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_81 1735976929623
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_82 1735976929623
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_83 1735976929624
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_84 1735976929624
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_85 1735976929624
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_86 1735976929624
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_87 1735976929624
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_88 1735976929624
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_89 1735976929625
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_90 1735976929625
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_91 1735976929625
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_92 1735976929625
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_93 1735976929629
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_94 1735976929630
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_95 1735976929630
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_96 1735976929630
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_97 1735976929630
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_98 1735976929630
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_99 1735976929630
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_100 1735976929630
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_101 1735976929631
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_102 1735976929631
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_103 1735976929631
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_104 1735976929631
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_105 1735976929631
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_106 1735976929631
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_107 1735976929632
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_108 1735976929632
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_109 1735976929632
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_110 1735976929632
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_111 1735976929632
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_112 1735976929632
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_113 1735976929632
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_114 1735976929633
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_115 1735976929633
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_116 1735976929633
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_117 1735976929633
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_118 1735976929633
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_119 1735976929633
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_120 1735976929634
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_121 1735976929634
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_122 1735976929634
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_123 1735976929634
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_124 1735976929634
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_125 1735976929635
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_126 1735976929635
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_127 1735976929635
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_128 1735976929635
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_129 1735976929635
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_130 1735976929636
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_131 1735976929636
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_132 1735976929636
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_133 1735976929636
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_134 1735976929637
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_135 1735976929637
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_136 1735976929637
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_137 1735976929637
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_138 1735976929637
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_139 1735976929638
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_140 1735976929638
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_141 1735976929638
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_142 1735976929638
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_143 1735976929638
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_144 1735976929639
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_145 1735976929639
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_146 1735976929639
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_147 1735976929639
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_148 1735976929639
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_149 1735976929640
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_150 1735976929640
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_151 1735976929640
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_152 1735976929640
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_153 1735976929640
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_154 1735976929641
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_155 1735976929641
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_156 1735976929641
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_157 1735976929641
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_158 1735976929642
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_159 1735976929642
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_160 1735976929642
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_161 1735976929642
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_162 1735976929642
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_163 1735976929642
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_164 1735976929642
bft_bft_server3019.1.38oks7f9rkt6@node6.bft.msc6801project.emulab.net    | command: 18_165 1735976929643
