bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | 
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3017: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3016: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3020: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3028: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3010: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3018: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3030: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3029: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3009: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3024: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3007: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3005: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3002: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3004: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3021: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3012: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3032: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3014: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3009: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3013: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3020: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3005: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3004: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3030: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3012: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3029: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3023: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3017: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3010: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3032: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3021: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3002: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3009: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3029: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3014: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3012: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3023: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3013: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3021: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3004: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3017: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3002: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3029: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3023: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Connection error for port 3013: xhr poll error
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | All peer servers connected
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | All ids: 0,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,4,5,6,7,8,9
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Not all peers connected or ready
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | {
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    |   groupId: 0,
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    |   groupSize: 8,
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    |   ownGroupOthersIds: [
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    |     '0', '1', '2',
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    |     '3', '5', '6',
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    |     '7'
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    |   ],
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    |   amILeader: true,
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    |   otherGroupLeadersIds: [
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    |     '8',  '9',  '10', '11',
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    |     '12', '16', '17', '18',
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    |     '19', '20', '24', '25',
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    |     '26', '27', '28'
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    |   ],
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    |   ownGroupIds: [
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    |     '0', '1', '2',
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    |     '3', '4', '5',
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    |     '6', '7'
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    |   ],
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    |   allIds: [
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    |     '0',  '1',  '10', '11', '12', '13',
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    |     '14', '15', '16', '17', '18', '19',
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    |     '2',  '20', '21', '22', '23', '24',
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    |     '25', '26', '27', '28', '29', '3',
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    |     '30', '31', '4',  '5',  '6',  '7',
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    |     '8',  '9'
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    |   ],
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    |   ownGroupLeaderIds: [ '0', '1', '2', '3', '4' ]
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | }
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | All servers ready
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | Malicious : false
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_0 1738501186677
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_1 1738501186678
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_2 1738501186678
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_3 1738501186679
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_4 1738501186679
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_5 1738501186679
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_6 1738501186679
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_7 1738501186680
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_8 1738501186680
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_9 1738501186681
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_10 1738501186681
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_11 1738501186681
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_12 1738501186682
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_13 1738501186682
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_14 1738501186682
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_15 1738501186682
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_16 1738501186682
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_17 1738501186683
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_18 1738501186683
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_19 1738501186683
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_20 1738501186683
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_21 1738501186683
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_22 1738501186683
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_23 1738501186684
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_24 1738501186684
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_25 1738501186684
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_26 1738501186684
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_27 1738501186684
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_28 1738501186684
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_29 1738501186685
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_30 1738501186685
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_31 1738501186685
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_32 1738501186685
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_33 1738501186685
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_34 1738501186685
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_35 1738501186686
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_36 1738501186686
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_37 1738501186686
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_38 1738501186686
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_39 1738501186686
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_40 1738501186686
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_41 1738501186687
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_42 1738501186687
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_43 1738501186687
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_44 1738501186687
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_45 1738501186687
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_46 1738501186687
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_47 1738501186688
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_48 1738501186688
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_49 1738501186688
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_50 1738501186688
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_51 1738501186689
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_52 1738501186689
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_53 1738501186689
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_54 1738501186689
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_55 1738501186689
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_56 1738501186689
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_57 1738501186690
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_58 1738501186690
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_59 1738501186690
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_60 1738501186690
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_61 1738501186690
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_62 1738501186691
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_63 1738501186691
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_64 1738501186691
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_65 1738501186691
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_66 1738501186692
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_67 1738501186692
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_68 1738501186692
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_69 1738501186692
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_70 1738501186693
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_71 1738501186693
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_72 1738501186693
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_73 1738501186693
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_74 1738501186693
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_75 1738501186694
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_76 1738501186694
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_77 1738501186694
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_78 1738501186694
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_79 1738501186694
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_80 1738501186694
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_81 1738501186694
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_82 1738501186695
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_83 1738501186695
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_84 1738501186695
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_85 1738501186695
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_86 1738501186695
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_87 1738501186695
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_88 1738501186696
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_89 1738501186696
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_90 1738501186696
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_91 1738501186696
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_92 1738501186696
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_93 1738501186697
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_94 1738501186697
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_95 1738501186697
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_96 1738501186697
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_97 1738501186698
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_98 1738501186698
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_99 1738501186698
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_100 1738501186698
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_101 1738501186699
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_102 1738501186699
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_103 1738501186699
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_104 1738501186699
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_105 1738501186700
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_106 1738501186700
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_107 1738501186700
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_108 1738501186700
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_109 1738501186700
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_110 1738501186701
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_111 1738501186701
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_112 1738501186701
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_113 1738501186701
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_114 1738501186701
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_115 1738501186702
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_116 1738501186702
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_117 1738501186702
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_118 1738501186702
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_119 1738501186702
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_120 1738501186703
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_121 1738501186703
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_122 1738501186703
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_123 1738501186703
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_124 1738501186703
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_125 1738501186704
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_126 1738501186704
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_127 1738501186704
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_128 1738501186704
bft_bft_server3006.1.45w46caj76nc@node12.arafi-239826.msc6801project.emulab.net    | command: 4_129 1738501186705
