bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | 
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | Connection error for port 3002: xhr poll error
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | Connection error for port 3003: xhr poll error
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | Connection error for port 3004: xhr poll error
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | Connection error for port 3011: xhr poll error
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | Connection error for port 3013: xhr poll error
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | All peer servers connected
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | All ids: 1,10,11,12,13,14,15,16,2,3,4,5,6,7,8,9
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | All servers ready
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_0 1736002860048
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_1 1736002860050
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_2 1736002860050
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_3 1736002860051
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_4 1736002860051
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_5 1736002860051
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_6 1736002860052
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_7 1736002860052
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_8 1736002860053
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_9 1736002860053
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_10 1736002860054
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_11 1736002860054
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_12 1736002860055
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_13 1736002860055
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_14 1736002860055
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_15 1736002860055
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_16 1736002860056
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_17 1736002860056
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_18 1736002860056
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_19 1736002860056
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_20 1736002860057
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_21 1736002860057
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_22 1736002860057
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_23 1736002860057
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_24 1736002860057
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_25 1736002860058
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_26 1736002860058
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_27 1736002860058
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_28 1736002860058
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_29 1736002860059
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_30 1736002860059
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_31 1736002860059
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_32 1736002860060
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_33 1736002860060
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_34 1736002860060
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_35 1736002860060
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_36 1736002860062
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_37 1736002860062
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_38 1736002860063
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_39 1736002860063
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_40 1736002860063
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_41 1736002860063
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_42 1736002860063
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_43 1736002860064
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_44 1736002860064
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_45 1736002860064
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_46 1736002860064
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_47 1736002860064
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_48 1736002860065
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_49 1736002860065
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_50 1736002860065
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_51 1736002860065
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_52 1736002860066
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_53 1736002860066
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_54 1736002860066
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_55 1736002860066
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_56 1736002860067
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_57 1736002860067
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_58 1736002860067
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_59 1736002860067
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_60 1736002860067
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_61 1736002860068
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_62 1736002860068
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_63 1736002860068
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_64 1736002860068
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_65 1736002860069
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_66 1736002860069
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_67 1736002860069
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_68 1736002860069
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_69 1736002860069
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_70 1736002860070
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_71 1736002860070
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_72 1736002860070
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_73 1736002860070
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_74 1736002860071
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_75 1736002860071
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_76 1736002860071
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_77 1736002860071
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_78 1736002860071
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_79 1736002860072
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_80 1736002860072
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_81 1736002860072
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_82 1736002860074
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_83 1736002860074
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_84 1736002860074
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_85 1736002860074
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_86 1736002860074
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_87 1736002860075
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_88 1736002860075
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_89 1736002860075
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_90 1736002860075
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_91 1736002860075
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_92 1736002860076
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_93 1736002860076
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_94 1736002860076
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_95 1736002860076
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_96 1736002860077
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_97 1736002860077
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_98 1736002860077
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_99 1736002860077
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_100 1736002860077
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_101 1736002860078
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_102 1736002860078
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_103 1736002860078
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_104 1736002860078
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_105 1736002860078
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_106 1736002860078
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_107 1736002860079
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_108 1736002860079
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_109 1736002860079
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_110 1736002860079
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_111 1736002860079
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_112 1736002860080
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_113 1736002860080
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_114 1736002860080
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_115 1736002860080
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_116 1736002860080
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_117 1736002860080
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_118 1736002860081
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_119 1736002860081
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_120 1736002860081
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_121 1736002860081
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_122 1736002860081
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_123 1736002860082
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_124 1736002860082
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_125 1736002860082
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_126 1736002860082
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_127 1736002860082
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_128 1736002860082
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_129 1736002860083
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_130 1736002860083
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_131 1736002860084
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_132 1736002860085
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_133 1736002860085
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_134 1736002860085
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_135 1736002860085
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_136 1736002860085
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_137 1736002860085
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_138 1736002860086
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_139 1736002860086
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_140 1736002860086
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_141 1736002860086
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_142 1736002860086
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_143 1736002860087
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_144 1736002860087
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_145 1736002860087
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_146 1736002860087
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_147 1736002860087
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_148 1736002860087
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_149 1736002860088
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_150 1736002860088
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_151 1736002860088
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_152 1736002860088
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_153 1736002860088
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_154 1736002860088
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_155 1736002860089
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_156 1736002860089
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_157 1736002860089
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_158 1736002860089
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_159 1736002860089
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_160 1736002860090
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_161 1736002860090
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_162 1736002860090
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_163 1736002860090
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_164 1736002860090
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_165 1736002860091
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_166 1736002860091
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_167 1736002860091
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_168 1736002860091
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_169 1736002860091
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_170 1736002860092
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_171 1736002860092
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_172 1736002860092
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_173 1736002860092
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_174 1736002860092
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_175 1736002860093
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_176 1736002860093
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_177 1736002860093
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_178 1736002860093
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_179 1736002860095
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_180 1736002860095
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_181 1736002860095
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_182 1736002860095
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_183 1736002860095
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_184 1736002860095
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_185 1736002860096
bft_bft_server3007.1.xyx0ulowv88l@node8.bft.msc6801project.emulab.net    | command: 6_186 1736002860096
