bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | 
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | Connection error for port 3011: xhr poll error
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | Connection error for port 3008: xhr poll error
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | Connection error for port 3003: xhr poll error
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | Connection error for port 3009: xhr poll error
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | Connection error for port 3016: xhr poll error
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | Connection error for port 3002: xhr poll error
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | Connection error for port 3007: xhr poll error
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | Connection error for port 3011: xhr poll error
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | Connection error for port 3002: xhr poll error
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | Connection error for port 3014: xhr poll error
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | Connection error for port 3004: xhr poll error
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | Connection error for port 3012: xhr poll error
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | Connection error for port 3013: xhr poll error
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | Connection error for port 3005: xhr poll error
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | Connection error for port 3007: xhr poll error
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | Connection error for port 3011: xhr poll error
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | Connection error for port 3002: xhr poll error
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | Connection error for port 3014: xhr poll error
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | Connection error for port 3012: xhr poll error
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | Connection error for port 3007: xhr poll error
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | All peer servers connected
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | All ids: 1,10,11,12,13,14,15,16,2,3,4,5,6,7,8,9
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | All servers ready
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | Serverinfo is malicious: false
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_0 1736058840309
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_1 1736058840311
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_2 1736058840312
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_3 1736058840312
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_4 1736058840312
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_5 1736058840313
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_6 1736058840313
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_7 1736058840314
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_8 1736058840314
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_9 1736058840315
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_10 1736058840315
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_11 1736058840317
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_12 1736058840317
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_13 1736058840318
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_14 1736058840318
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_15 1736058840318
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_16 1736058840319
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_17 1736058840319
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_18 1736058840319
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_19 1736058840319
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_20 1736058840320
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_21 1736058840320
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_22 1736058840320
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_23 1736058840320
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_24 1736058840321
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_25 1736058840321
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_26 1736058840322
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_27 1736058840322
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_28 1736058840322
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_29 1736058840322
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_30 1736058840323
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_31 1736058840323
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_32 1736058840324
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_33 1736058840324
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_34 1736058840324
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_35 1736058840324
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_36 1736058840325
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_37 1736058840325
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_38 1736058840325
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_39 1736058840326
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_40 1736058840326
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_41 1736058840326
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_42 1736058840326
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_43 1736058840326
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_44 1736058840327
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_45 1736058840327
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_46 1736058840327
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_47 1736058840327
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_48 1736058840328
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_49 1736058840328
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_50 1736058840328
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_51 1736058840328
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_52 1736058840329
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_53 1736058840329
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_54 1736058840329
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_55 1736058840331
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_56 1736058840331
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_57 1736058840332
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_58 1736058840332
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_59 1736058840332
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_60 1736058840332
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_61 1736058840332
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_62 1736058840333
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_63 1736058840333
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_64 1736058840333
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_65 1736058840333
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_66 1736058840333
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_67 1736058840334
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_68 1736058840334
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_69 1736058840334
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_70 1736058840334
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_71 1736058840334
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_72 1736058840335
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_73 1736058840335
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_74 1736058840335
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_75 1736058840335
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_76 1736058840335
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_77 1736058840335
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_78 1736058840336
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_79 1736058840336
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_80 1736058840336
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_81 1736058840336
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_82 1736058840336
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_83 1736058840337
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_84 1736058840337
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_85 1736058840337
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_86 1736058840337
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_87 1736058840337
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_88 1736058840338
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_89 1736058840338
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_90 1736058840338
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_91 1736058840338
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_92 1736058840338
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_93 1736058840339
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_94 1736058840339
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_95 1736058840339
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_96 1736058840339
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_97 1736058840340
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_98 1736058840340
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_99 1736058840340
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_100 1736058840340
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_101 1736058840340
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_102 1736058840341
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_103 1736058840341
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_104 1736058840341
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_105 1736058840342
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_106 1736058840343
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_107 1736058840343
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_108 1736058840343
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_109 1736058840343
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_110 1736058840343
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_111 1736058840344
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_112 1736058840344
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_113 1736058840344
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_114 1736058840344
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_115 1736058840344
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_116 1736058840345
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_117 1736058840345
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_118 1736058840345
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_119 1736058840345
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_120 1736058840345
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_121 1736058840346
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_122 1736058840346
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_123 1736058840346
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_124 1736058840346
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_125 1736058840346
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_126 1736058840346
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_127 1736058840347
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_128 1736058840347
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_129 1736058840347
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_130 1736058840347
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_131 1736058840347
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_132 1736058840348
bft_bft_server3010.1.i5qpfaudzx3m@node1.bft.msc6801project.emulab.net    | command: 9_133 1736058840348
