bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | 
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_34 1735931403663
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_35 1735931403663
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_36 1735931403663
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_37 1735931403663
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_38 1735931403663
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_39 1735931403663
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_40 1735931403663
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_41 1735931403663
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_42 1735931403664
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_43 1735931403664
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_44 1735931403664
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_45 1735931403664
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_46 1735931403664
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_47 1735931403664
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_48 1735931403664
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_49 1735931403664
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_50 1735931403664
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_51 1735931403665
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_52 1735931403666
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_53 1735931403666
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_54 1735931403666
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_55 1735931403666
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_56 1735931403666
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_57 1735931403666
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_58 1735931403666
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_59 1735931403666
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_60 1735931403667
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_61 1735931403667
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_62 1735931403667
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_63 1735931403668
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_64 1735931403668
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_65 1735931403668
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_66 1735931403668
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_67 1735931403669
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_68 1735931403669
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_69 1735931403669
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_70 1735931403669
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_71 1735931403669
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_72 1735931403669
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_73 1735931403669
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_74 1735931403669
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_75 1735931403669
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_76 1735931403669
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_77 1735931403669
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_78 1735931403669
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_79 1735931403670
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_80 1735931403670
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_81 1735931403670
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_82 1735931403670
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_83 1735931403670
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_84 1735931403670
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_85 1735931403670
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_86 1735931403670
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_87 1735931403670
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_88 1735931403670
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_89 1735931403671
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_90 1735931403671
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_91 1735931403671
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_92 1735931403671
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_93 1735931403671
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_94 1735931403672
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_95 1735931403672
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_96 1735931403672
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_97 1735931403672
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_98 1735931403672
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_99 1735931403672
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_100 1735931403672
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_101 1735931403672
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_102 1735931403672
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_103 1735931403673
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_104 1735931403673
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_105 1735931403673
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_106 1735931403673
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_107 1735931403673
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_108 1735931403673
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_109 1735931403673
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_110 1735931403673
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_111 1735931403673
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_112 1735931403673
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_113 1735931403674
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_114 1735931403674
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_115 1735931403674
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_116 1735931403674
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_117 1735931403674
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_118 1735931403674
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_119 1735931403675
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_120 1735931403675
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_121 1735931403675
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_122 1735931403675
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_123 1735931403675
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_124 1735931403675
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_125 1735931403675
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_126 1735931403675
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_127 1735931403675
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_128 1735931403675
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_129 1735931403675
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_130 1735931403675
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_131 1735931403676
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_132 1735931403676
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_133 1735931403676
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_134 1735931403677
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_135 1735931403677
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_136 1735931403677
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_137 1735931403678
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_138 1735931403678
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_139 1735931403678
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_140 1735931403678
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_141 1735931403678
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_142 1735931403679
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_143 1735931403679
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_144 1735931403679
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_145 1735931403679
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_146 1735931403679
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_147 1735931403680
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_148 1735931403680
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_149 1735931403680
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_150 1735931403680
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_151 1735931403680
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_152 1735931403680
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_153 1735931403680
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_154 1735931403680
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_155 1735931403680
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_156 1735931403681
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_157 1735931403681
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_158 1735931403681
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_159 1735931403681
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_160 1735931403681
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_161 1735931403681
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_162 1735931403681
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_163 1735931403681
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_164 1735931403681
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_165 1735931403681
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_166 1735931403681
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_167 1735931403681
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_168 1735931403681
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_169 1735931403681
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_170 1735931403682
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_171 1735931403682
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_172 1735931403682
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_173 1735931403682
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_174 1735931403682
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_175 1735931403682
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_176 1735931403682
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_177 1735931403682
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_178 1735931403682
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_179 1735931403682
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_180 1735931403682
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_181 1735931403682
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_182 1735931403682
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_183 1735931403683
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_184 1735931403683
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_185 1735931403683
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_186 1735931403683
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_187 1735931403683
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_188 1735931403683
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_189 1735931403683
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_190 1735931403683
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_191 1735931403683
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_192 1735931403683
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_193 1735931403684
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_194 1735931403684
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_195 1735931403684
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_196 1735931403684
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_197 1735931403684
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_198 1735931403684
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_199 1735931403684
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_200 1735931403684
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_201 1735931403684
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_202 1735931403684
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_203 1735931403684
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_204 1735931403684
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_205 1735931403684
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_206 1735931403685
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_207 1735931403685
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_208 1735931403685
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_209 1735931403685
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_210 1735931403685
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_211 1735931403685
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_212 1735931403685
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_213 1735931403685
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_214 1735931403685
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_215 1735931403685
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_216 1735931403685
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_217 1735931403686
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_218 1735931403686
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_219 1735931403686
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_220 1735931403686
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_221 1735931403686
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_222 1735931403686
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_223 1735931403686
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_224 1735931403686
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_225 1735931403686
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_226 1735931403686
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_227 1735931403686
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_228 1735931403687
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_229 1735931403687
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_230 1735931403687
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_231 1735931403687
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_232 1735931403687
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_233 1735931403687
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_234 1735931403687
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_235 1735931403687
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_236 1735931403687
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_237 1735931403687
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_238 1735931403687
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_239 1735931403687
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_240 1735931403687
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_241 1735931403688
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_242 1735931403688
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_243 1735931403688
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_244 1735931403688
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_245 1735931403688
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_246 1735931403688
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_247 1735931403688
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_248 1735931403688
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_249 1735931403688
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_250 1735931403688
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_251 1735931403688
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_252 1735931403688
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_253 1735931403689
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_254 1735931403689
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_255 1735931403689
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_256 1735931403689
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_257 1735931403689
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_258 1735931403689
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_259 1735931403689
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_260 1735931403689
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_261 1735931403689
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_262 1735931403689
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_263 1735931403689
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_264 1735931403689
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_265 1735931403689
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_266 1735931403690
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_267 1735931403690
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_268 1735931403690
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_269 1735931403690
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_270 1735931403690
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_271 1735931403691
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_272 1735931403691
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_273 1735931403691
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_274 1735931403691
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_275 1735931403691
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_276 1735931403691
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_277 1735931403691
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_278 1735931403691
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_279 1735931403691
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_280 1735931403691
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_281 1735931403692
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_282 1735931403692
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_283 1735931403692
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_284 1735931403692
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_285 1735931403692
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_286 1735931403692
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_287 1735931403692
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_288 1735931403692
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_289 1735931403692
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_290 1735931403692
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_291 1735931403692
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_292 1735931403692
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_293 1735931403692
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_294 1735931403693
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_295 1735931403693
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_296 1735931403693
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_297 1735931403693
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_298 1735931403693
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_299 1735931403693
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_300 1735931403693
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_301 1735931403693
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_302 1735931403693
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_303 1735931403693
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_304 1735931403693
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_305 1735931403693
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_306 1735931403694
bft_bft_server3004.1.57bonrug8j9t@azureuser-3    | command: 3_307 1735931403694
