bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | 
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3018: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3005: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3009: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3016: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3003: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3010: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3013: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3024: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3015: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3026: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3014: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3022: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3004: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3030: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3006: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3009: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3016: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3003: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3010: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3013: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3024: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3015: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3026: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3014: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3004: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3030: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3006: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3016: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3003: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3010: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3013: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3024: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3014: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3004: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3006: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3016: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3010: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | Connection error for port 3004: xhr poll error
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | All peer servers connected
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | All ids: 1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,4,5,6,7,8,9
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | All servers ready
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_0 1735966460891
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_1 1735966460892
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_2 1735966460893
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_3 1735966460893
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_4 1735966460894
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_5 1735966460895
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_6 1735966460895
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_7 1735966460896
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_8 1735966460896
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_9 1735966460897
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_10 1735966460899
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_11 1735966460900
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_12 1735966460901
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_13 1735966460901
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_14 1735966460902
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_15 1735966460903
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_16 1735966460903
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_17 1735966460903
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_18 1735966460904
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_19 1735966460904
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_20 1735966460904
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_21 1735966460905
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_22 1735966460905
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_23 1735966460905
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_24 1735966460905
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_25 1735966460906
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_26 1735966460906
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_27 1735966460906
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_28 1735966460907
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_29 1735966460907
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_30 1735966460907
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_31 1735966460907
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_32 1735966460908
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_33 1735966460908
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_34 1735966460908
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_35 1735966460908
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_36 1735966460909
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_37 1735966460909
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_38 1735966460909
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_39 1735966460911
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_40 1735966460912
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_41 1735966460912
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_42 1735966460912
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_43 1735966460912
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_44 1735966460913
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_45 1735966460913
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_46 1735966460913
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_47 1735966460913
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_48 1735966460914
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_49 1735966460914
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_50 1735966460914
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_51 1735966460915
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_52 1735966460915
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_53 1735966460915
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_54 1735966460915
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_55 1735966460916
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_56 1735966460916
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_57 1735966460916
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_58 1735966460916
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_59 1735966460917
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_60 1735966460917
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_61 1735966460917
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_62 1735966460917
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_63 1735966460918
bft_bft_server3028.1.evngpbfpt98p@node9.bft.msc6801project.emulab.net    | command: 27_64 1735966460918
