bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | 
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | Connection error for port 3011: xhr poll error
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | Connection error for port 3022: xhr poll error
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | Connection error for port 3003: xhr poll error
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | Connection error for port 3027: xhr poll error
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | Connection error for port 3004: xhr poll error
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | Connection error for port 3028: xhr poll error
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | Connection error for port 3015: xhr poll error
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | Connection error for port 3025: xhr poll error
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | Connection error for port 3011: xhr poll error
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | Connection error for port 3022: xhr poll error
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | Connection error for port 3003: xhr poll error
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | Connection error for port 3027: xhr poll error
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | Connection error for port 3015: xhr poll error
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | Connection error for port 3011: xhr poll error
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | Connection error for port 3027: xhr poll error
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | All peer servers connected
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | All ids: 1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,3,4,5,6,7,8,9
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | All servers ready
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_0 1735968891314
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_1 1735968891316
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_2 1735968891316
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_3 1735968891316
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_4 1735968891317
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_5 1735968891317
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_6 1735968891318
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_7 1735968891318
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_8 1735968891319
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_9 1735968891320
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_10 1735968891321
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_11 1735968891321
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_12 1735968891321
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_13 1735968891322
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_14 1735968891322
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_15 1735968891323
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_16 1735968891324
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_17 1735968891328
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_18 1735968891328
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_19 1735968891329
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_20 1735968891329
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_21 1735968891330
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_22 1735968891330
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_23 1735968891330
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_24 1735968891331
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_25 1735968891331
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_26 1735968891331
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_27 1735968891331
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_28 1735968891332
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_29 1735968891332
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_30 1735968891332
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_31 1735968891333
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_32 1735968891333
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_33 1735968891333
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_34 1735968891334
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_35 1735968891334
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_36 1735968891334
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_37 1735968891335
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_38 1735968891335
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_39 1735968891335
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_40 1735968891336
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_41 1735968891336
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_42 1735968891336
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_43 1735968891337
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_44 1735968891337
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_45 1735968891337
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_46 1735968891338
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_47 1735968891338
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_48 1735968891341
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_49 1735968891341
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_50 1735968891342
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_51 1735968891342
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_52 1735968891343
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_53 1735968891343
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_54 1735968891343
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_55 1735968891344
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_56 1735968891344
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_57 1735968891344
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_58 1735968891345
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_59 1735968891345
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_60 1735968891345
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_61 1735968891346
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_62 1735968891346
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_63 1735968891347
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_64 1735968891347
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_65 1735968891348
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_66 1735968891348
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_67 1735968891348
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_68 1735968891349
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_69 1735968891349
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_70 1735968891349
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_71 1735968891350
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_72 1735968891350
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_73 1735968891350
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_74 1735968891351
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_75 1735968891351
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_76 1735968891351
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_77 1735968891351
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_78 1735968891352
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_79 1735968891352
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_80 1735968891352
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_81 1735968891353
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_82 1735968891355
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_83 1735968891355
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_84 1735968891355
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_85 1735968891355
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_86 1735968891356
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_87 1735968891356
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_88 1735968891357
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_89 1735968891357
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_90 1735968891357
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_91 1735968891358
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_92 1735968891358
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_93 1735968891358
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_94 1735968891359
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_95 1735968891359
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_96 1735968891359
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_97 1735968891360
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_98 1735968891360
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_99 1735968891360
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_100 1735968891361
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_101 1735968891361
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_102 1735968891361
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_103 1735968891361
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_104 1735968891362
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_105 1735968891362
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_106 1735968891362
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_107 1735968891363
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_108 1735968891363
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_109 1735968891363
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_110 1735968891363
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_111 1735968891364
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_112 1735968891364
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_113 1735968891364
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_114 1735968891364
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_115 1735968891365
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_116 1735968891367
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_117 1735968891367
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_118 1735968891367
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_119 1735968891368
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_120 1735968891368
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_121 1735968891368
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_122 1735968891368
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_123 1735968891368
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_124 1735968891369
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_125 1735968891369
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_126 1735968891369
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_127 1735968891369
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_128 1735968891370
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_129 1735968891370
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_130 1735968891370
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_131 1735968891370
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_132 1735968891371
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_133 1735968891371
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_134 1735968891371
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_135 1735968891371
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_136 1735968891372
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_137 1735968891372
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_138 1735968891372
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_139 1735968891372
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_140 1735968891373
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_141 1735968891373
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_142 1735968891373
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_143 1735968891373
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_144 1735968891373
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_145 1735968891374
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_146 1735968891374
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_147 1735968891376
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_148 1735968891376
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_149 1735968891376
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_150 1735968891377
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_151 1735968891377
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_152 1735968891377
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_153 1735968891377
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_154 1735968891378
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_155 1735968891378
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_156 1735968891378
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_157 1735968891378
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_158 1735968891378
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_159 1735968891379
bft_bft_server3007.1.0zl5jdkyisoc@node0.bft.msc6801project.emulab.net    | command: 6_160 1735968891379
