bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | 
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3014: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3012: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3007: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3021: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3004: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3016: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3015: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3018: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3003: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3019: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3002: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3020: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3006: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3013: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3010: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3017: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3012: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3007: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3014: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3013: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3016: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3019: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3017: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3018: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3020: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3021: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3002: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3005: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3015: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3004: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3006: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3003: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3010: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3014: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3017: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3013: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3007: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3020: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3018: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3004: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3002: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3012: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3019: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3005: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3015: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3016: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3021: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3010: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3003: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3014: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3017: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3013: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3007: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3020: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3002: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3012: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3019: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3005: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3015: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3016: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3021: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3003: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3010: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3014: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3017: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3013: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3007: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3020: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3002: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3005: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3015: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3016: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3021: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3003: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3010: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3014: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3017: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3013: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3007: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3020: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3002: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3005: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3015: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3016: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3003: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3010: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3017: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3013: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3007: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3020: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3002: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3005: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3015: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3016: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3010: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3017: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3013: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3020: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3002: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3005: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3016: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3010: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3017: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3020: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3002: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3005: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3016: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3010: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3017: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3020: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3005: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3016: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3010: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3020: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3016: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | Connection error for port 3020: xhr poll error
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | All peer servers connected
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | All ids: 1,10,11,12,13,14,15,16,17,18,19,2,20,3,4,5,6,7,8,9
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | All servers ready
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_0 1735932164790
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_1 1735932164791
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_2 1735932164791
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_3 1735932164791
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_4 1735932164791
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_5 1735932164792
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_6 1735932164792
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_7 1735932164792
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_8 1735932164792
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_9 1735932164792
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_10 1735932164792
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_11 1735932164793
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_12 1735932164793
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_13 1735932164793
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_14 1735932164793
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_15 1735932164793
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_16 1735932164793
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_17 1735932164793
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_18 1735932164793
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_19 1735932164793
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_20 1735932164794
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_21 1735932164794
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_22 1735932164795
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_23 1735932164795
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_24 1735932164795
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_25 1735932164795
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_26 1735932164795
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_27 1735932164795
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_28 1735932164795
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_29 1735932164795
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_30 1735932164795
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_31 1735932164795
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_32 1735932164795
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_33 1735932164796
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_34 1735932164796
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_35 1735932164796
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_36 1735932164796
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_37 1735932164796
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_38 1735932164796
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_39 1735932164796
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_40 1735932164796
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_41 1735932164796
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_42 1735932164797
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_43 1735932164797
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_44 1735932164797
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_45 1735932164797
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_46 1735932164797
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_47 1735932164797
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_48 1735932164797
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_49 1735932164797
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_50 1735932164797
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_51 1735932164797
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_52 1735932164797
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_53 1735932164797
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_54 1735932164798
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_55 1735932164798
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_56 1735932164798
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_57 1735932164798
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_58 1735932164798
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_59 1735932164798
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_60 1735932164798
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_61 1735932164799
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_62 1735932164799
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_63 1735932164799
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_64 1735932164799
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_65 1735932164799
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_66 1735932164799
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_67 1735932164799
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_68 1735932164799
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_69 1735932164799
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_70 1735932164799
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_71 1735932164799
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_72 1735932164800
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_73 1735932164800
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_74 1735932164800
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_75 1735932164800
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_76 1735932164800
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_77 1735932164800
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_78 1735932164800
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_79 1735932164800
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_80 1735932164800
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_81 1735932164800
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_82 1735932164800
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_83 1735932164800
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_84 1735932164800
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_85 1735932164800
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_86 1735932164800
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_87 1735932164800
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_88 1735932164800
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_89 1735932164800
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_90 1735932164800
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_91 1735932164800
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_92 1735932164801
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_93 1735932164801
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_94 1735932164801
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_95 1735932164801
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_96 1735932164801
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_97 1735932164801
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_98 1735932164801
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_99 1735932164801
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_100 1735932164801
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_101 1735932164801
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_102 1735932164801
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_103 1735932164801
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_104 1735932164802
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_105 1735932164803
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_106 1735932164803
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_107 1735932164803
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_108 1735932164803
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_109 1735932164803
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_110 1735932164803
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_111 1735932164803
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_112 1735932164804
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_113 1735932164804
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_114 1735932164804
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_115 1735932164804
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_116 1735932164804
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_117 1735932164804
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_118 1735932164804
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_119 1735932164804
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_120 1735932164804
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_121 1735932164804
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_122 1735932164804
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_123 1735932164804
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_124 1735932164804
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_125 1735932164804
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_126 1735932164804
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_127 1735932164804
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_128 1735932164805
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_129 1735932164805
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_130 1735932164805
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_131 1735932164805
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_132 1735932164805
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_133 1735932164805
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_134 1735932164805
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_135 1735932164805
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_136 1735932164805
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_137 1735932164805
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_138 1735932164805
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_139 1735932164805
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_140 1735932164805
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_141 1735932164805
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_142 1735932164805
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_143 1735932164805
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_144 1735932164805
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_145 1735932164806
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_146 1735932164806
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_147 1735932164807
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_148 1735932164807
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_149 1735932164807
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_150 1735932164807
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_151 1735932164807
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_152 1735932164807
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_153 1735932164807
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_154 1735932164807
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_155 1735932164807
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_156 1735932164807
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_157 1735932164807
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_158 1735932164807
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_159 1735932164808
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_160 1735932164808
bft_bft_server3009.1.1gxtgm7t9ed7@bft-2    | command: 8_161 1735932164808
